阿拉伯语	ālābóyǔ
哎	āi
哎呀	āiyā
哀求	āiqiú
挨家挨户	āijiāāihù
癌	ái
癌症	áizhèng
艾滋病	àizībìng
唉	āi
爱不释手	àibùshìshǒu
爱理不理	àilǐbùlǐ
爱面子	àimiànzi
爱惜	àixī
碍事	àishì
安定	āndìng
安抚	ānfǔ
安眠药	ānmiányào
安宁	ānníng
安稳	ānwěn
安心	ānxīn
安逸	ānyì
按键	ànjiàn
按理说	ànlǐshuō
按说	ànshuō
案件	ànjiàn
暗地里	àndìli
暗杀	ànshā
暗中	ànzhōng
昂贵	ángguì
凹	āo
熬	áo
熬夜	áoyè
傲	ào
傲慢	àomàn
奥秘	àomì
奥运会	àoyùnhuì
八卦	bāguà
巴不得	bābude
扒	pá
芭蕾	bālěi
把柄	bǎbǐng
把关	bǎguān
把手	bǎshǒu
靶子	bǎzi
坝	bà
罢免	bàmiǎn
罢休	bàxiū
霸占	bàzhàn
掰	bāi
白白	báibái
百分比	bǎifēnbǐ
百合	bǎihé
百科全书	bǎikēquánshū
柏树	bǎishù
摆放	bǎifàng
摆平	bǎipíng
摆设	bǎishe
拜会	bàihuì
拜见	bàijiàn
拜年	bàinián
拜托	bàituō
扳	bān
颁布	bānbù
颁发	bānfā
颁奖	bānjiǎng
斑点	bāndiǎn
搬迁	bānqiān
板块	bǎnkuài
办不到	bànbudào
半边天	bànbiāntiān
半场	bànchǎng
半岛	bàndǎo
半路	bànlù
半数	bànshù
半途而废	bàntúérfèi
半信半疑	bànxìnbànyí
半真半假	bànzhēnbànjiǎ
扮	bàn
伴	bàn
伴侣	bànlǚ
伴随	bànsuí
伴奏	bànzòu
拌	bàn
帮手	bāngshǒu
绑	bǎng
绑架	bǎngjià
榜样	bǎngyàng
棒球	bàngqiú
磅	bàng
包袱	bāofu
包容	bāoróng
包扎	bāozā
剥	bō
煲	bāo
饱和	bǎohé
饱满	bǎomǎn
宝库	bǎokù
宝藏	bǎozàng
保管	bǎoguǎn
保姆	bǎomǔ
保暖	bǎonuǎn
保鲜	bǎoxiān
保修	bǎoxiū
保佑	bǎoyòu
保障	bǎozhàng
保质期	bǎozhìqī
保重	bǎozhòng
堡垒	bǎolěi
报	bào
报仇	bàochóu
报酬	bàochóu
报废	bàofèi
报复	bàofù
报社	bàoshè
报亭	bàotíng
报销	bàoxiāo
抱负	bàofù
豹	bào
暴风骤雨	bàofēngzhòuyǔ
暴利	bàolì
暴躁	bàozào
曝光	bàoguāng
爆冷门	bàolěngmén
爆满	bàomǎn
爆竹	bàozhú
卑鄙	bēibǐ
悲哀	bēiāi
悲观	bēiguān
悲欢离合	bēihuānlíhé
悲痛	bēitòng
碑	bēi
贝壳	bèiké
备课	bèikè
备受	bèishòu
备用	bèiyòng
背面	bèimiàn
背叛	bèipàn
背诵	bèisòng
被捕	bèibǔ
奔波	bēnbō
奔赴	bēnfù
本分	běnfèn
本能	běnnéng
本钱	běnqián
本色	běnshǎi
本性	běnxìng
本意	běnyì
本着	běnzhe
奔	bēn
笨蛋	bèndàn
笨重	bènzhòng
崩溃	bēngkuì
绷	bèng
绷带	bēngdài
蹦	bèng
逼近	bījìn
逼迫	bīpò
逼真	bīzhēn
鼻涕	bítì
比比皆是	bǐbǐjiēshì
比不上	bǐbùshàng
比起	bǐqǐ
比试	bǐshì
比喻	bǐyù
鄙视	bǐshì
必不可少	bìbùkěshǎo
必定	bìdìng
碧绿	bìlǜ
弊病	bìbìng
弊端	bìduān
壁画	bìhuà
避难	bìnàn
避暑	bìshǔ
边疆	biānjiāng
边界	biānjiè
边远	biānyuǎn
编号	biānhào
编剧	biānjù
编排	biānpái
编写	biānxiě
编造	biānzào
鞭策	biāncè
鞭炮	biānpào
贬值	biǎnzhí
变革	biàngé
变幻莫测	biànhuànmòcè
变迁	biànqiān
变异	biànyì
变质	biànzhì
便道	biàn dào
便饭	biànfàn
便捷	biànjié
便利店	biànlìdiàn
遍布	biànbù
辨别	biànbié
辨认	biànrèn
辩	biàn
辩护	biànhù
辩解	biànjiě
辫子	biànzi
标	biāo
标榜	biāobǎng
标本	biāoběn
标签	biāoqiān
标示	biāoshì
标语	biāoyǔ
标致	biāozhi
飙升	biāoshēng
表白	biǎobái
表决	biǎojué
表述	biǎoshù
表率	biǎoshuài
