事	事	shì	case	事: matter / thing / item / work / affair /CL:件, 樁｜桩, 回one's employment / business / matter that needs to be settled / (northern dialect) (of a person) demanding / trying / troublesome / erhua variant of 事/CL:件, 樁｜桩variant of 事	HSK3 missing words
但	但	dàn	but	但: but  / yet  / however  / only  / merely  / still	HSK3 missing words
这样	這樣	zhèyàng	so	这样: this kind of  / so  / this way  / like this  / such; so (Cantonese)  / Mandarin equivalent: 這樣｜这样	HSK3 missing words
这里	這裡	zhèlǐ	here	这里: variant of 這裡｜这里; here	HSK3 missing words
天	天	tiān	sky	天: day  / sky  / heaven; variant of 天; old variant of 天	HSK3 missing words
这么	這麼	zhème	so	这么: so much  / this much  / how much?  / this way  / like this; suffix, used to form interrogative 什麼｜什么, what?, indefinite 這麼｜这 么 thus, etc; variant of 這麼｜这么; variant of 這麼｜这么	HSK3 missing words
那么	那麼	nàme	So	那么: like that  / in that way  / or so  / so  / so very much  / about  / in that case; variant of 那麼｜那么; variant of 那麼｜那么	HSK3 missing words
么	麼	me	What's wrong?	么: exclamatory final particle; interrogative final particle; suffix, used to form interrogative 什麼｜什么, what?, indefinite 這麼｜这么 thus, etc; variant of 麼｜么; surname Yao; youngest  / most junior  / tiny  / one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military)  / one or ace on dice or dominoes  / variant of 吆, to shout; variant of  麼｜么	HSK3 missing words
中	中	zhōng	middle	中: China  / Chinese  / surname Zhong; within  / among  / in  / middle  / center  / while (doing sth)  / during  / (dialect) OK  / all right; to hit (the mark)  / to be hit by  / to suffer  / to win (a prize, a lottery)	HSK3 missing words
该	該	gāi	Should	该: should  / ought to  / probably  / must be  / to deserve  / to owe  / to be sb's turn to do sth  / that  / the above-mentioned; modal verb (e.g. 肯, 能, 會｜会, 要, 該｜该, 得, 願意｜愿意, 可以, 可能, 敢, 應該｜应该)	HSK3 missing words
帮	幫	bāng	help	帮: old variant of 幫｜帮; old variant of 幫｜帮; to help  / to assist  / to support  / for sb (i.e. as a help)  / hired (as worker)  / side (of pail, boat etc)  / outer layer  / upper (of a shoe)  / group  / gang  / clique  / party  / secret society	HSK3 missing words
打	打	dǎ	beat	打: (chicken) egg  / hen's egg  / CL: 個｜个, 打; dozen (loanword); to beat  / to strike  / to hit  / to break  / to type  / to mix up  / to build  / to fight  / to fetch  / to make  / to tie up  / to issue  / to shoot  / to calculate  / to play (a game)  / since  / from; egg  / CL:  個｜个, 打 / oval-shaped thing; "hand" radical in Chinese characters (Kangxi radical 64), occurring in 提, 把, 打 etc	HSK3 missing words
见	見	jiàn	See	见: to see  / to meet  / to appear (to be sth)  / to interview  / opinion  / view; to appear  / also written 現｜现	HSK3 missing words
噢	噢	ō	Oh	噢: Oh!	HSK3 missing words
就是	就是	jiùshì	that is	就是: (emphasizes that sth is precisely or exactly as stated)  / precisely  / exactly  / even  / if  / just like  / in the same way as; equivalent to either 是 or 就是	HSK3 missing words
